Value Set Name,Code System,Logical Definition,Code,Code Description
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C17.8,Malignant neoplasm of overlapping sites of small intestine
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C17.9,"Malignant neoplasm of small intestine, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C18.0,Malignant neoplasm of cecum
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C18.1,Malignant neoplasm of appendix
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C18.2,Malignant neoplasm of ascending colon
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C18.3,Malignant neoplasm of hepatic flexure
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C18.4,Malignant neoplasm of transverse colon
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C18.5,Malignant neoplasm of splenic flexure
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C18.6,Malignant neoplasm of descending colon
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C18.7,Malignant neoplasm of sigmoid colon
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C18.8,Malignant neoplasm of overlapping sites of colon
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C18.9,"Malignant neoplasm of colon, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C19,MALIGNANT NEOPLASM OF RECTOSIGMOID JUNCTION
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C20,MALIGNANT NEOPLASM OF RECTUM
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C21.0,"Malignant neoplasm of anus, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C21.1,Malignant neoplasm of anal canal
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C21.2,Malignant neoplasm of cloacogenic zone
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C21.8,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C22.0,Liver cell carcinoma
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C22.1,Intrahepatic bile duct carcinoma
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C22.2,Hepatoblastoma
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C22.3,Angiosarcoma of liver
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C22.4,Other sarcomas of liver
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C22.7,Other specified carcinomas of liver
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C22.8,"Malignant neoplasm of liver, primary, unspecified as to type"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C22.9,"Malignant neoplasm of liver, not specified as primary or secondary"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C23,MALIGNANT NEOPLASM OF GALLBLADDER
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C24.0,Malignant neoplasm of extrahepatic bile duct
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C24.1,Malignant neoplasm of Ampulla of Vater
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C24.8,Malignant neoplasm of overlapping sites of biliary tract
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C24.9,"Malignant neoplasm of biliary tract, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C25.0,Malignant neoplasm of head of pancreas
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C25.1,Malignant neoplasm of body of pancreas
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C25.2,Malignant neoplasm of tail of pancreas
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C25.3,Malignant neoplasm of pancreatic duct
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C25.4,Malignant neoplasm of endocrine pancreas
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C25.7,Malignant neoplasm of other parts of pancreas
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C25.8,Malignant neoplasm of overlapping sites of pancreas
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C25.9,"Malignant neoplasm of pancreas, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C26.0,"Malignant neoplasm of intestinal tract, part unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C26.1,Malignant neoplasm of spleen
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C26.9,Malignant neoplasm of ill-defined sites within the digestive system
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C30.0,Malignant neoplasm of nasal cavity
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C30.1,Malignant neoplasm of middle ear
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C31.0,Malignant neoplasm of maxillary sinus
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C31.1,Malignant neoplasm of ethmoidal sinus
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C31.2,Malignant neoplasm of frontal sinus
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C31.3,Malignant neoplasm of sphenoid sinus
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C31.8,Malignant neoplasm of overlapping sites of accessory sinuses
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C31.9,"Malignant neoplasm of accessory sinus, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C32.0,Malignant neoplasm of glottis
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C32.1,Malignant neoplasm of supraglottis
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C32.2,Malignant neoplasm of subglottis
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C32.3,Malignant neoplasm of laryngeal cartilage
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C32.8,Malignant neoplasm of overlapping sites of larynx
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C32.9,"Malignant neoplasm of larynx, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C33,MALIGNANT NEOPLASM OF TRACHEA
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.00,Malignant neoplasm of unspecified main bronchus
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.01,Malignant neoplasm of right main bronchus
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.02,Malignant neoplasm of left main bronchus
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.2,"Malignant neoplasm of middle lobe, bronchus or lung"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.30,"Malignant neoplasm of lower lobe, unspecified bronchus or lung"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.81,Malignant neoplasm of overlapping sites of right bronchus and lung
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.82,Malignant neoplasm of overlapping sites of left bronchus and lung
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C37,MALIGNANT NEOPLASM OF THYMUS
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C38.0,Malignant neoplasm of heart
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C38.1,Malignant neoplasm of anterior mediastinum
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C38.2,Malignant neoplasm of posterior mediastinum
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C38.3,"Malignant neoplasm of mediastinum, part unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C38.4,Malignant neoplasm of pleura
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C38.8,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C39.0,"Malignant neoplasm of upper respiratory tract, part unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C39.9,"Malignant neoplasm of lower respiratory tract, part unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.00,Malignant neoplasm of scapula and long bones of unspecified upper limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.01,Malignant neoplasm of scapula and long bones of right upper limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.02,Malignant neoplasm of scapula and long bones of left upper limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.10,Malignant neoplasm of short bones of unspecified upper limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.11,Malignant neoplasm of short bones of right upper limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.12,Malignant neoplasm of short bones of left upper limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.20,Malignant neoplasm of long bones of unspecified lower limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.21,Malignant neoplasm of long bones of right lower limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.22,Malignant neoplasm of long bones of left lower limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.30,Malignant neoplasm of short bones of unspecified lower limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.31,Malignant neoplasm of short bones of right lower limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.32,Malignant neoplasm of short bones of left lower limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.80,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.81,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.82,Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.90,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.91,Malignant neoplasm of unspecified bones and articular cartilage of right limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C40.92,Malignant neoplasm of unspecified bones and articular cartilage of left limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C41.0,Malignant neoplasm of bones of skull and face
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C41.1,Malignant neoplasm of mandible
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C41.2,Malignant neoplasm of vertebral column
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C41.3,"Malignant neoplasm of ribs, sternum and clavicle"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C41.4,"Malignant neoplasm of pelvic bones, sacrum and coccyx"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C41.9,Malignant neoplasm of unspecified bones and articular cartilage of limb
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.0,Malignant melanoma of lip
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.10,"Malignant melanoma of unspecified eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.111,"Malignant melanoma of right upper eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.112,"Malignant melanoma of right lower eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.121,"Malignant melanoma of left upper eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.122,"Malignant melanoma of left lower eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.20,Malignant melanoma of unspecified ear and external auricular canal
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.21,Malignant melanoma of right ear and external auricular canal
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.22,Malignant melanoma of left ear and external auricular canal
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.30,Malignant melanoma of unspecified part of face
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.31,Malignant melanoma of nose
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.39,Malignant melanoma of other parts of face
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.4,Malignant melanoma of scalp and neck
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.51,Malignant melanoma of anal skin
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.52,Malignant melanoma of skin of breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.59,Malignant melanoma of other part of trunk
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.60,"Malignant melanoma of unspecified upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.61,"Malignant melanoma of right upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.62,"Malignant melanoma of left upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.70,"Malignant melanoma of unspecified lower limb, including hip"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.71,"Malignant melanoma of right lower limb, including hip"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.72,"Malignant melanoma of left lower limb, including hip"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.8,Malignant melanoma of overlapping sites of skin
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C43.9,"Malignant melanoma of skin, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C44.131,"Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C44.1321,"Sebaceous cell carcinoma of skin of right upper eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C44.1322,"Sebaceous cell carcinoma of skin of right lower eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C44.1391,"Sebaceous cell carcinoma of skin of left upper eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C44.1392,"Sebaceous cell carcinoma of skin of left lower eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C44.90,"Unspecified malignant neoplasm of skin, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C44.99,"Other specified malignant neoplasm of skin, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C45.0,Mesothelioma of pleura
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C45.1,Mesothelioma of peritoneum
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C45.2,Mesothelioma of pericardium
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C45.7,Mesothelioma of other sites
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C45.9,"Mesothelioma, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C46.0,Kaposi's sarcoma of skin
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C46.1,Kaposi's sarcoma of soft tissue
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C46.2,Kaposi's sarcoma of palate
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C46.3,Kaposi's sarcoma of lymph nodes
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C46.4,Kaposi’s sarcoma of gastrointestinal sites
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C46.50,Kaposi's sarcoma of unspecified lung
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C46.51,Kaposi's sarcoma of right lung
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C46.52,Kaposi's sarcoma of left lung
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C46.7,Kaposi's sarcoma of other sites
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C46.9,"Kaposi's sarcoma, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.0,"Malignant neoplasm of peripheral nerves of head, face and neck"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.1,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.10,"Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.11,"Malignant neoplasm of peripheral nerves of right upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.12,"Malignant neoplasm of peripheral nerves of left upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.20,"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.21,"Malignant neoplasm of peripheral nerves of right lower limb, including hip"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.22,"Malignant neoplasm of peripheral nerves of left lower limb, including hip"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.3,Malignant neoplasm of peripheral nerves of thorax
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.4,Malignant neoplasm of peripheral nerves of abdomen
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.5,Malignant neoplasm of peripheral nerves of pelvis
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.6,"Malignant neoplasm of peripheral nerves of trunk, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.8,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C47.9,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C48.0,Malignant neoplasm of retroperitoneum
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C48.1,Malignant neoplasm of specified parts of peritoneum
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C48.2,"Malignant neoplasm of peritoneum, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C48.8,Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.0,"Malignant neoplasm of connective and soft tissue of head, face and neck"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.10,"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.11,"Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.12,"Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.20,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.21,"Malignant neoplasm of connective and soft tissue of right lower limb, including hip"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.22,"Malignant neoplasm of connective and soft tissue of left lower limb, including hip"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.3,Malignant neoplasm of connective and soft tissue of thorax
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.4,Malignant neoplasm of connective and soft tissue of abdomen
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.5,Malignant neoplasm of connective and soft tissue of pelvis
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.6,"Malignant neoplasm of connective and soft tissue of trunk, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.8,Malignant neoplasm of overlapping sites of connective and soft tissue
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.9,"Malignant neoplasm of connective and soft tissue, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.A0,"Gastrointestinal stromal tumor, unspecified site"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.A1,Gastrointestinal stromal tumor of esophagus
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.A2,Gastrointestinal stromal tumor of stomach
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.A3,Gastrointestinal stromal tumor of small intestine
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.A4,Gastrointestinal stromal tumor of large intestine
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.A5,Gastrointestinal stromal tumor of rectum
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C49.A9,Gastrointestinal stromal tumor of other site
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.0,Merkel cell carcinoma of lip
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.10,"Merkel cell carcinoma of unspecified eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.111,"Merkel cell carcinoma of right upper eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.112,"Merkel cell carcinoma of right lower eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.121,"Merkel cell carcinoma of left upper eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.122,"Merkel cell carcinoma of left lower eyelid, including canthus"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.20,Merkel cell carcinoma of unspecified ear and external auricular canal
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.21,Merkel cell carcinoma of right ear and external auricular canal
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.22,Merkel cell carcinoma of left ear and external auricular canal
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.30,Merkel cell carcinoma of unspecified part of face
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.31,Merkel cell carcinoma of nose
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.39,Merkel cell carcinoma of other parts of face
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.4,Merkel cell carcinoma of scalp and neck
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.51,Merkel cell carcinoma of anal skin
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.52,Merkel cell carcinoma of skin of breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.59,Merkel cell carcinoma of other part of trunk
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.60,"Merkel cell carcinoma of unspecified upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.61,"Merkel cell carcinoma of right upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.62,"Merkel cell carcinoma of left upper limb, including shoulder"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.70,"Merkel cell carcinoma of unspecified lower limb, including hip"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.71,"Merkel cell carcinoma of right lower limb, including hip"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.72,"Merkel cell carcinoma of left lower limb, including hip"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.8,Merkel cell carcinoma of overlapping sites
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C4A.9,"Merkel cell carcinoma, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.011,"Malignant neoplasm of nipple and areola, right female breast"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.012,"Malignant neoplasm of nipple and areola, left female breast"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.019,"Malignant neoplasm of nipple and areola, unspecified female breast"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.021,"Malignant neoplasm of nipple and areola, right male breast"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.022,"Malignant neoplasm of nipple and areola, left male breast"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.029,"Malignant neoplasm of nipple and areola, unspecified male breast"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.111,Malignant neoplasm of central portion of right female breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.112,Malignant neoplasm of central portion of left female breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.119,Malignant neoplasm of central portion of unspecified female breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.121,Malignant neoplasm of central portion of right male breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.122,Malignant neoplasm of central portion of left male breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.129,Malignant neoplasm of central portion of unspecified male breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.211,Malignant neoplasm of upper-inner quadrant of right female breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.212,Malignant neoplasm of upper-inner quadrant of left female breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.219,Malignant neoplasm of upper-inner quadrant of unspecified female breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.221,Malignant neoplasm of upper-inner quadrant of right male breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.222,Malignant neoplasm of upper-inner quadrant of left male breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.229,Malignant neoplasm of upper-inner quadrant of unspecified male breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.311,Malignant neoplasm of lower-inner quadrant of right female breast
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C50.312,Malignant neoplasm of lower-inner quadrant of left female breast
