ICD-10-CM Code Specific,"ICD-10-CM Code Definition (FY 2026)
(Category and subcategory codes highlighted in blue)
",General Category,SEER Casefinding List,"NPCR ePath WG
(for epath selection only)",,,,
C64,"Malignant neoplasm of kidney, except renal pelvis",Malignant neoplasm,Category Code,Category Code (Core),,,,
C64.1,"Malignant neoplasm of right kidney, except renal pelvis",Malignant neoplasm,Reportable,Core,,,,
C64.2,"Malignant neoplasm of left kidney, except renal pelvis",Malignant neoplasm,Reportable,Core,,,,
C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis",Malignant neoplasm,Reportable,Core,,,,
C65,Malignant neoplasm of renal pelvis,Malignant neoplasm,Category Code,Category Code (Core),,,,
C65.1,Malignant neoplasm of right renal pelvis,Malignant neoplasm,Reportable,Core,,,,
C65.2,Malignant neoplasm of left renal pelvis,Malignant neoplasm,Reportable,Core,,,,
C65.9,Malignant neoplasm of unspecified renal pelvis,Malignant neoplasm,Reportable,Core,,,,
C66,Malignant neoplasm of ureter,Malignant neoplasm,Category Code,Category Code (Core),,,,
C66.1,Malignant neoplasm of right ureter,Malignant neoplasm,Reportable,Core,,,,
C66.2,Malignant neoplasm of left ureter,Malignant neoplasm,Reportable,Core,,,,
C66.9,Malignant neoplasm of unspecified ureter,Malignant neoplasm,Reportable,Core,,,,
C67,Malignant neoplasm of bladder,Malignant neoplasm,Category Code,Category Code (Core),,,,
C67.0,Malignant neoplasm of trigone of bladder,Malignant neoplasm,Reportable,Core,,,,
C67.1,Malignant neoplasm of dome of bladder,Malignant neoplasm,Reportable,Core,,,,
C67.2,Malignant neoplasm of lateral wall of bladder,Malignant neoplasm,Reportable,Core,,,,
C67.3,Malignant neoplasm of anterior wall of bladder,Malignant neoplasm,Reportable,Core,,,,
C67.4,Malignant neoplasm of posterior wall of bladder,Malignant neoplasm,Reportable,Core,,,,
C67.5,Malignant neoplasm of bladder neck,Malignant neoplasm,Reportable,Core,,,,
C67.6,Malignant neoplasm of ureteric orifice,Malignant neoplasm,Reportable,Core,,,,
C67.7,Malignant neoplasm of urachus,Malignant neoplasm,Reportable,Core,,,,
C67.8,Malignant neoplasm of overlapping sites of bladder,Malignant neoplasm,Reportable,Core,,,,
C67.9,"Malignant neoplasm of bladder, unspecified",Malignant neoplasm,Reportable,Core,,,,
C68,Malignant neoplasm of other and unspecified urinary organs,Malignant neoplasm,Category Code,Category Code (Core),,,,
C68.0,Malignant neoplasm of urethra,Malignant neoplasm,Reportable,Core,,,,
C68.1,Malignant neoplasm of paraurethral glands,Malignant neoplasm,Reportable,Core,,,,
C68.8,Malignant neoplasm of overlapping sites of urinary organs,Malignant neoplasm,Reportable,Core,,,,
C68.9,"Malignant neoplasm of urinary organ, unspecified",Malignant neoplasm,Reportable,Core,,,,
C69,Malignant neoplasm of eye and adnexa,Malignant neoplasm,Category Code,Category Code (Core),,,,
C69.0,Malignant neoplasm of conjunctiva,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C69.00,Malignant neoplasm of unspecified conjunctiva,Malignant neoplasm,Reportable,Core,,,,
C69.01,Malignant neoplasm of right conjunctiva,Malignant neoplasm,Reportable,Core,,,,
C69.02,Malignant neoplasm of left conjunctiva,Malignant neoplasm,Reportable,Core,,,,
C69.1,Malignant neoplasm of cornea,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C69.10,Malignant neoplasm of unspecified cornea,Malignant neoplasm,Reportable,Core,,,,
C69.11,Malignant neoplasm of right cornea,Malignant neoplasm,Reportable,Core,,,,
C69.12,Malignant neoplasm of left cornea,Malignant neoplasm,Reportable,Core,,,,
C69.2,Malignant neoplasm of retina,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C69.20,Malignant neoplasm of unspecified retina,Malignant neoplasm,Reportable,Core,,,,
C69.21,Malignant neoplasm of right retina,Malignant neoplasm,Reportable,Core,,,,
C69.22,Malignant neoplasm of left retina,Malignant neoplasm,Reportable,Core,,,,
C69.3,Malignant neoplasm of choroid,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C69.30,Malignant neoplasm of unspecified choroid,Malignant neoplasm,Reportable,Core,,,,
C69.31,Malignant neoplasm of right choroid,Malignant neoplasm,Reportable,Core,,,,
C69.32,Malignant neoplasm of left choroid,Malignant neoplasm,Reportable,Core,,,,
C69.4,Malignant neoplasm of ciliary body,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C69.40,Malignant neoplasm of unspecified ciliary body,Malignant neoplasm,Reportable,Core,,,,
C69.41,Malignant neoplasm of right ciliary body,Malignant neoplasm,Reportable,Core,,,,
C69.42,Malignant neoplasm of left ciliary body,Malignant neoplasm,Reportable,Core,,,,
C69.5,Malignant neoplasm of lacrimal gland and duct,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C69.50,Malignant neoplasm of unspecified lacrimal gland and duct,Malignant neoplasm,Reportable,Core,,,,
C69.51,Malignant neoplasm of right lacrimal gland and duct,Malignant neoplasm,Reportable,Core,,,,
C69.52,Malignant neoplasm of left lacrimal gland and duct,Malignant neoplasm,Reportable,Core,,,,
C69.6,Malignant neoplasm of orbit,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C69.60,Malignant neoplasm of unspecified orbit,Malignant neoplasm,Reportable,Core,,,,
C69.61,Malignant neoplasm of right orbit,Malignant neoplasm,Reportable,Core,,,,
C69.62,Malignant neoplasm of left orbit,Malignant neoplasm,Reportable,Core,,,,
C69.8,Malignant neoplasm of overlapping sites of eye and adnexa,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C69.80,Malignant neoplasm of overlapping sites of unspecified eye and adnexa,Malignant neoplasm,Reportable,Core,,,,
C69.81,Malignant neoplasm of overlapping sites of right eye and adnexa,Malignant neoplasm,Reportable,Core,,,,
C69.82,Malignant neoplasm of overlapping sites of left eye and adnexa,Malignant neoplasm,Reportable,Core,,,,
C69.9,Malignant neoplasm of unspecified site of eye,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C69.90,Malignant neoplasm of unspecified site of unspecified eye,Malignant neoplasm,Reportable,Core,,,,
C69.91,Malignant neoplasm of unspecified site of right eye,Malignant neoplasm,Reportable,Core,,,,
C69.92,Malignant neoplasm of unspecified site of left eye,Malignant neoplasm,Reportable,Core,,,,
C70,Malignant neoplasm of meninges,Malignant neoplasm,Category Code,Category Code (Core),,,,
C70.0,Malignant neoplasm of cerebral meninges,Malignant neoplasm,Reportable,Core,,,,
C70.1,Malignant neoplasm of spinal meninges,Malignant neoplasm,Reportable,Core,,,,
C70.9,"Malignant neoplasm of meninges, unspecified",Malignant neoplasm,Reportable,Core,,,,
C71,Malignant neoplasm of brain,Malignant neoplasm,Category Code,Category Code (Core),,,,
C71.0,"Malignant neoplasm of cerebrum, except lobes and ventricles",Malignant neoplasm,Reportable,Core,,,,
C71.1,Malignant neoplasm of frontal lobe,Malignant neoplasm,Reportable,Core,,,,
C71.2,Malignant neoplasm of temporal lobe,Malignant neoplasm,Reportable,Core,,,,
C71.3,Malignant neoplasm of parietal lobe,Malignant neoplasm,Reportable,Core,,,,
C71.4,Malignant neoplasm of occipital lobe,Malignant neoplasm,Reportable,Core,,,,
C71.5,Malignant neoplasm of cerebral ventricle,Malignant neoplasm,Reportable,Core,,,,
C71.6,Malignant neoplasm of cerebellum,Malignant neoplasm,Reportable,Core,,,,
C71.7,Malignant neoplasm of brain stem,Malignant neoplasm,Reportable,Core,,,,
C71.8,Malignant neoplasm of overlapping sites of brain,Malignant neoplasm,Reportable,Core,,,,
C71.9,"Malignant neoplasm of brain, unspecified",Malignant neoplasm,Reportable,Core,,,,
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",Malignant neoplasm,Category Code,Category Code (Core),,,,
C72.0,Malignant neoplasm of spinal cord,Malignant neoplasm,Reportable,Core,,,,
C72.1,Malignant neoplasm of cauda equina,Malignant neoplasm,Reportable,Core,,,,
C72.2,Malignant neoplasm of olfactory nerve,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C72.20,Malignant neoplasm of unspecified olfactory nerve,Malignant neoplasm,Reportable,Core,,,,
C72.21,Malignant neoplasm of right olfactory nerve,Malignant neoplasm,Reportable,Core,,,,
C72.22,Malignant neoplasm of left olfactory nerve,Malignant neoplasm,Reportable,Core,,,,
C72.3,Malignant neoplasm of optic nerve,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C72.30,Malignant neoplasm of unspecified optic nerve,Malignant neoplasm,Reportable,Core,,,,
C72.31,Malignant neoplasm of right optic nerve,Malignant neoplasm,Reportable,Core,,,,
C72.32,Malignant neoplasm of left optic nerve,Malignant neoplasm,Reportable,Core,,,,
C72.4,Malignant neoplasm of acoustic nerve,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C72.40,Malignant neoplasm of unspecified acoustic nerve,Malignant neoplasm,Reportable,Core,,,,
C72.41,Malignant neoplasm of right acoustic nerve,Malignant neoplasm,Reportable,Core,,,,
C72.42,Malignant neoplasm of left acoustic nerve,Malignant neoplasm,Reportable,Core,,,,
C72.5,Malignant neoplasm of other and unspecified cranial nerves,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C72.50,Malignant neoplasm of unspecified cranial nerve,Malignant neoplasm,Reportable,Core,,,,
C72.59,Malignant neoplasm of other cranial nerves,Malignant neoplasm,Reportable,Core,,,,
C72.9,"Malignant neoplasm of central nervous system, unspecified",Malignant neoplasm,Reportable,Core,,,,
C73,Malignant neoplasm of thyroid gland,Malignant neoplasm,Reportable,Core,,,,
C74,Malignant neoplasm of adrenal gland,Malignant neoplasm,Category Code,Category Code (Core),,,,
C74.0,Malignant neoplasm of cortex of adrenal gland,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C74.00,Malignant neoplasm of cortex of unspecified adrenal gland,Malignant neoplasm,Reportable,Core,,,,
C74.01,Malignant neoplasm of cortex of right adrenal gland,Malignant neoplasm,Reportable,Core,,,,
C74.02,Malignant neoplasm of cortex of left adrenal gland,Malignant neoplasm,Reportable,Core,,,,
C74.1,Malignant neoplasm of medulla of adrenal gland,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C74.10,Malignant neoplasm of medulla of unspecified adrenal gland,Malignant neoplasm,Reportable,Core,,,,
C74.11,Malignant neoplasm of medulla of right adrenal gland,Malignant neoplasm,Reportable,Core,,,,
C74.12,Malignant neoplasm of medulla of left adrenal gland,Malignant neoplasm,Reportable,Core,,,,
C74.9,Malignant neoplasm of unspecified part of adrenal gland,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C74.90,Malignant neoplasm of unspecified part of unspecified adrenal gland,Malignant neoplasm,Reportable,Core,,,,
C74.91,Malignant neoplasm of unspecified part of right adrenal gland,Malignant neoplasm,Reportable,Core,,,,
C74.92,Malignant neoplasm of unspecified part of left adrenal gland,Malignant neoplasm,Reportable,Core,,,,
C75,Malignant neoplasm of other endocrine glands and related structures,Malignant neoplasm,Category Code,Subcategory Code (Core),,,,
C75.0,Malignant neoplasm of parathyroid gland,Malignant neoplasm,Reportable,Core,,,,
C75.1,Malignant neoplasm of pituitary gland,Malignant neoplasm,Reportable,Core,,,,
C75.2,Malignant neoplasm of craniopharyngeal duct,Malignant neoplasm,Reportable,Core,,,,
C75.3,Malignant neoplasm of pineal gland,Malignant neoplasm,Reportable,Core,,,,
C75.4,Malignant neoplasm of carotid body,Malignant neoplasm,Reportable,Core,,,,
C75.5,Malignant neoplasm of aortic body and other paraganglia,Malignant neoplasm,Reportable,Core,,,,
C75.8,"Malignant neoplasm with pluriglandular involvement, unspecified",Malignant neoplasm,Reportable,Core,,,,
C75.9,"Malignant neoplasm of endocrine gland, unspecified",Malignant neoplasm,Reportable,Core,,,,
C76,Malignant neoplasm of other and ill-defined sites,Malignant neoplasm,Category Code,Subcategory Code (Core),,,,
C76.0,"Malignant neoplasm of head, face and neck",Malignant neoplasm,Reportable,Core,,,,
C76.1,Malignant neoplasm of thorax,Malignant neoplasm,Reportable,Core,,,,
C76.2,Malignant neoplasm of abdomen,Malignant neoplasm,Reportable,Core,,,,
C76.3,Malignant neoplasm of pelvis,Malignant neoplasm,Reportable,Core,,,,
C76.4,Malignant neoplasm of upper limb,Malignant neoplasm,Subcategory Code,Subcategory Code,,,,
C76.40,Malignant neoplasm of unspecified upper limb,Malignant neoplasm,Reportable,Core,,,,
C76.41,Malignant neoplasm of right upper limb,Malignant neoplasm,Reportable,Core,,,,
C76.42,Malignant neoplasm of left upper limb,Malignant neoplasm,Reportable,Core,,,,
C76.5,Malignant neoplasm of lower limb,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C76.50,Malignant neoplasm of unspecified lower limb,Malignant neoplasm,Reportable,Core,,,,
C76.51,Malignant neoplasm of right lower limb,Malignant neoplasm,Reportable,Core,,,,
C76.52,Malignant neoplasm of left lower limb,Malignant neoplasm,Reportable,Core,,,,
C76.8,Malignant neoplasm of other specified ill-defined sites,Malignant neoplasm,Reportable,Core,,,,
C77,Secondary and unspecified malignant neoplasm of lymph nodes,Malignant neoplasm,Category Code,Subcategory Code (Core),,,,
C77.0,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",Malignant neoplasm,Reportable,Core,,,,
C77.1,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,Malignant neoplasm,Reportable,Core,,,,
C77.2,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,Malignant neoplasm,Reportable,Core,,,,
C77.3,Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes,Malignant neoplasm,Reportable,Core,,,,
C77.4,Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes,Malignant neoplasm,Reportable,Core,,,,
C77.5,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,Malignant neoplasm,Reportable,Core,,,,
C77.8,Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions,Malignant neoplasm,Reportable,Core,,,,
C77.9,"Secondary and unspecified malignant neoplasm of lymph node, unspecified",Malignant neoplasm,Reportable,Core,,,,
C78,Secondary malignant neoplasm of respiratory and digestive organs,Malignant neoplasm,Category Code,Category Code (Core),,,,
C78.0,Secondary malignant neoplasm of lung,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C78.00,Secondary malignant neoplasm of unspecified lung,Malignant neoplasm,Reportable,Core,,,,
C78.01,Secondary malignant neoplasm of right lung,Malignant neoplasm,Reportable,Core,,,,
C78.02,Secondary malignant neoplasm of left lung,Malignant neoplasm,Reportable,Core,,,,
C78.1,Secondary malignant neoplasm of mediastinum,Malignant neoplasm,Reportable,Core,,,,
C78.2,Secondary malignant neoplasm of pleura,Malignant neoplasm,Reportable,Core,,,,
C78.3,Secondary malignant neoplasm of other and unspecified respiratory organs,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C78.30,Secondary malignant neoplasm of unspecified respiratory organ,Malignant neoplasm,Reportable,Core,,,,
C78.39,Secondary malignant neoplasm of other respiratory organs,Malignant neoplasm,Reportable,Core,,,,
C78.4,Secondary malignant neoplasm of small intestine,Malignant neoplasm,Reportable,Core,,,,
C78.5,Secondary malignant neoplasm of large intestine and rectum,Malignant neoplasm,Reportable,Core,,,,
C78.6,Secondary malignant neoplasm of retroperitoneum and peritoneum,Malignant neoplasm,Reportable,Core,,,,
C78.7,Secondary malignant neoplasm of liver and intrahepatic bile duct,Malignant neoplasm,Reportable,Core,,,,
C78.8,Secondary malignant neoplasm of other and unspecified digestive organs,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C78.80,Secondary malignant neoplasm of unspecified digestive organ,Malignant neoplasm,Reportable,Core,,,,
C78.89,Secondary malignant neoplasm of other digestive organs,Malignant neoplasm,Reportable,Core,,,,
C79,Secondary malignant neoplasm of other and unspecified sites,Malignant neoplasm,Category Code,Category Code (Core),,,,
C79.0,Secondary malignant neoplasm of kidney and renal pelvis,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C79.00,Secondary malignant neoplasm of unspecified kidney and renal pelvis,Malignant neoplasm,Reportable,Core,,,,
C79.01,Secondary malignant neoplasm of right kidney and renal pelvis,Malignant neoplasm,Reportable,Core,,,,
C79.02,Secondary malignant neoplasm of left kidney and renal pelvis,Malignant neoplasm,Reportable,Core,,,,
C79.1,Secondary malignant neoplasm of bladder and other and unspecified urinary organs,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C79.10,Secondary malignant neoplasm of unspecified urinary organs,Malignant neoplasm,Reportable,Core,,,,
C79.11,Secondary malignant neoplasm of bladder,Malignant neoplasm,Reportable,Core,,,,
C79.19,Secondary malignant neoplasm of other urinary organs,Malignant neoplasm,Reportable,Core,,,,
C79.2,Secondary malignant neoplasm of skin,Malignant neoplasm,Reportable,Core,,,,
C79.3,Secondary malignant neoplasm of brain and cerebral meninges,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C79.31,Secondary malignant neoplasm of brain,Malignant neoplasm,Reportable,Core,,,,
C79.32,Secondary malignant neoplasm of cerebral meninges,Malignant neoplasm,Reportable,Core,,,,
C79.4,Secondary malignant neoplasm of other and unspecified parts of nervous system,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C79.40,Secondary malignant neoplasm of unspecified part of nervous system,Malignant neoplasm,Reportable,Core,,,,
C79.49,Secondary malignant neoplasm of other parts of nervous system,Malignant neoplasm,Reportable,Core,,,,
C79.5,Secondary malignant neoplasm of bone and bone marrow,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C79.51,Secondary malignant neoplasm of bone,Malignant neoplasm,Reportable,Core,,,,
C79.52,Secondary malignant neoplasm of bone marrow,Malignant neoplasm,Reportable,Core,,,,
C79.6,Secondary malignant neoplasm of ovary,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C79.60,Secondary malignant neoplasm of unspecified ovary,Malignant neoplasm,Reportable,Core,,,,
C79.61,Secondary malignant neoplasm of right ovary,Malignant neoplasm,Reportable,Core,,,,
C79.62,Secondary malignant neoplasm of left ovary,Malignant neoplasm,Reportable,Core,,,,
C79.63,Secondary malignant neoplasm of bilateral ovaries,Malignant neoplasm,Reportable,Core,,,,
C79.7,Secondary malignant neoplasm of adrenal gland,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C79.70,Secondary malignant neoplasm of unspecified adrenal gland,Malignant neoplasm,Reportable,Core,,,,
C79.71,Secondary malignant neoplasm of right adrenal gland,Malignant neoplasm,Reportable,Core,,,,
C79.72,Secondary malignant neoplasm of left adrenal gland,Malignant neoplasm,Reportable,Core,,,,
C79.8,Secondary malignant neoplasm of other specified sites,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C79.81,Secondary malignant neoplasm of breast,Malignant neoplasm,Reportable,Core,,,,
C79.82,Secondary malignant neoplasm of genital organs,Malignant neoplasm,Reportable,Core,,,,
C79.89,Secondary malignant neoplasm of other specified sites,Malignant neoplasm,Reportable,Core,,,,
C79.9,Secondary malignant neoplasm of unspecified site,Malignant neoplasm,Reportable,Core,,,,
C7A,Malignant neuroendocrine tumors,Malignant neoplasm,Category Code,Category Code (Core),,,,
C7A.0,Malignant carcinoid tumors,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C7A.00,Malignant carcinoid tumor of unspecified site,Malignant neoplasm,Reportable,Core,,,,
C7A.01,Malignant carcinoid tumors of the small intestine,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C7A.010,Malignant carcinoid tumor of the duodenum,Malignant neoplasm,Reportable,Core,,,,
C7A.011,Malignant carcinoid tumor of the jejunum,Malignant neoplasm,Reportable,Core,,,,
C7A.012,Malignant carcinoid tumor of the ileum,Malignant neoplasm,Reportable,Core,,,,
C7A.019,"Malignant carcinoid tumor of the small intestine, unspecified portion",Malignant neoplasm,Reportable,Core,,,,
C7A.02,"Malignant carcinoid tumors of the appendix, large intestine, and rectum",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C7A.020,Malignant carcinoid tumor of the appendix,Malignant neoplasm,Reportable,Core,,,,
C7A.021,Malignant carcinoid tumor of the cecum,Malignant neoplasm,Reportable,Core,,,,
C7A.022,Malignant carcinoid tumor of the ascending colon,Malignant neoplasm,Reportable,Core,,,,
C7A.023,Malignant carcinoid tumor of the transverse colon,Malignant neoplasm,Reportable,Core,,,,
C7A.024,Malignant carcinoid tumor of the descending colon,Malignant neoplasm,Reportable,Core,,,,
C7A.025,Malignant carcinoid tumor of the sigmoid colon,Malignant neoplasm,Reportable,Core,,,,
C7A.026,Malignant carcinoid tumor of the rectum,Malignant neoplasm,Reportable,Core,,,,
C7A.029,"Malignant carcinoid tumor of the large intestine, unspecified portion",Malignant neoplasm,Reportable,Core,,,,
C7A.09,Malignant carcinoid tumors of other sites,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C7A.090,Malignant carcinoid tumor of the bronchus and lung,Malignant neoplasm,Reportable,Core,,,,
C7A.091,Malignant carcinoid tumor of the thymus,Malignant neoplasm,Reportable,Core,,,,
C7A.092,Malignant carcinoid tumor of the stomach,Malignant neoplasm,Reportable,Core,,,,
C7A.093,Malignant carcinoid tumor of the kidney,Malignant neoplasm,Reportable,Core,,,,
C7A.094,"Malignant carcinoid tumor of the foregut, unspecified",Malignant neoplasm,Reportable,Core,,,,
C7A.095,"Malignant carcinoid tumor of the midgut, unspecified",Malignant neoplasm,Reportable,Core,,,,
C7A.096,"Malignant carcinoid tumor of the hindgut, unspecified",Malignant neoplasm,Reportable,Core,,,,
C7A.098,Malignant carcinoid tumors of other sites,Malignant neoplasm,Reportable,Core,,,,
C7A.1,Malignant poorly differentiated neuroendocrine tumors,Malignant neoplasm,Reportable,Core,,,,
C7A.8,Other malignant neuroendocrine tumors,Malignant neoplasm,Reportable,Core,,,,
C7B,Secondary neuroendocrine tumors,Malignant neoplasm,Category Code,Category Code (Core),,,,
C7B.0,Secondary carcinoid tumors,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C7B.00,Secondary carcinoid tumors unspecified site,Malignant neoplasm,Reportable,Core,,,,
C7B.01,Secondary carcinoid tumors of distant lymph nodes,Malignant neoplasm,Reportable,Core,,,,
C7B.02,Secondary carcinoid tumors of liver,Malignant neoplasm,Reportable,Core,,,,
C7B.03,Secondary carcinoid tumors of bone,Malignant neoplasm,Reportable,Core,,,,
C7B.04,Secondary carcinoid tumors of peritoneum,Malignant neoplasm,Reportable,Core,,,,
C7B.09,Secondary carcinoid tumors of other sites,Malignant neoplasm,Reportable,Core,,,,
C7B.1,Secondary Merkel cell carcinoma,Malignant neoplasm,Reportable,Core,,,,
C7B.8,Other secondary neuroendocrine tumors,Malignant neoplasm,Reportable,Core,,,,
C80,Malignant neoplasm without specification of site,Malignant neoplasm,Category Code,Category Code (Core),,,,
C80.0,"Disseminated malignant neoplasm, unspecified",Malignant neoplasm,Reportable,Core,,,,
C80.1,"Malignant (primary) neoplasm, unspecified",Malignant neoplasm,Reportable,Core,,,,
C80.2,Malignant neoplasm associated with transplanted organ,Malignant neoplasm,Reportable,Core,,,,
C81,Hodgkin lymphoma ,Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C81.0,Nodular lymphocyte predominant Hodgkin lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C81.00,Nodular lymphocyte predominant Hodgkin lymphoma unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C81.01,"Nodular lymphocyte predominant Hodgkin lymphoma lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C81.02,Nodular lymphocyte predominant Hodgkin lymphoma intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.03,Nodular lymphocyte predominant Hodgkin lymphoma intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.04,Nodular lymphocyte predominant Hodgkin lymphoma lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C81.05,Nodular lymphocyte predominant Hodgkin lymphoma lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C81.06,Nodular lymphocyte predominant Hodgkin lymphoma intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.07,Nodular lymphocyte predominant Hodgkin lymphoma spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C81.08,Nodular lymphocyte predominant Hodgkin lymphoma lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C81.09,Nodular lymphocyte predominant Hodgkin lymphoma extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C81.0A,"Nodular lymphocyte predominant Hodgkin lymphoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C81.1,Nodular sclerosis Hodgkin lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C81.10,Nodular sclerosis Hodgkin lymphoma unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C81.11,"Nodular sclerosis Hodgkin lymphoma lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C81.12,Nodular sclerosis Hodgkin lymphoma intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.13,Nodular sclerosis Hodgkin lymphoma intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.14,Nodular sclerosis Hodgkin lymphoma lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C81.15,Nodular sclerosis Hodgkin lymphoma lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C81.16,Nodular sclerosis Hodgkin lymphoma intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.17,Nodular sclerosis Hodgkin lymphoma spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C81.18,Nodular sclerosis Hodgkin lymphoma lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C81.19,Nodular sclerosis Hodgkin lymphoma extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C81.1A,"Nodular sclerosis Hodgkin lymphoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C81.2,Mixed cellularity Hodgkin lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C81.20,Mixed cellularity Hodgkin lymphoma unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C81.21,"Mixed cellularity Hodgkin lymphoma lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C81.22,Mixed cellularity Hodgkin lymphoma intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.23,Mixed cellularity Hodgkin lymphoma intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.24,Mixed cellularity Hodgkin lymphoma lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C81.25,Mixed cellularity Hodgkin lymphoma lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C81.26,Mixed cellularity Hodgkin lymphoma intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.27,Mixed cellularity Hodgkin lymphoma spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C81.28,Mixed cellularity Hodgkin lymphoma lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C81.29,Mixed cellularity Hodgkin lymphoma extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C81.2A,"Mixed cellularity Hodgkin lymphoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
